codigo_proyecto,nombre_proyecto,codigo_subdivision,nombre_subdivision,nombre_tipologia,nombre,total_habitaciones,precio_lista,precio lista miles,precio_venta,estado_comercial,Estado comercial,PISO,P_m2 dolares con dscto y area libre,area_techada,area_libre,area_total
NP,Torre Nápoles,NP-A,Torre A,AX03 - 39.01 - 1 dorm - Exterior,A2503,1,244041.11,S/ 244.04,0,disponible,Disponible,25,$1480,40.12,0,40.12
NP,Torre Nápoles,NP-A,Torre A,AX04 - 66.68 - 3 dorm - Interna,A2504,3,372452.53,S/ 372.45,0,disponible,Disponible,25,$1383,65.49,0,65.49
NP,Torre Nápoles,NP-A,Torre A,AX05 - 65.81 - 3 dorm - Exterior,A2505,3,374306.02,S/ 374.31,337000,proceso de separación,Separado/Vendido,25,$1384,65.81,0,65.81
NP,Torre Nápoles,NP-A,Torre A,AX06 - 68.65 - 3 dorm - Exterior,A2506,3,385902.18,S/ 385.90,0,disponible,Disponible,25,$1367,68.65,0,68.65
NP,Torre Nápoles,NP-A,Torre A,AX07 - 57.06 - 2 dorm - Interna,A2507,2,316554.32,S/ 316.55,0,disponible,Disponible,25,$1349,57.06,0,57.06
NP,Torre Nápoles,NP-A,Torre A,AX08 - 38 - 1 dorm - Interna,A2508,1,232398.17,S/ 232.40,0,disponible,Disponible,25,$1410,40.09,0,40.09
NP,Torre Nápoles,NP-A,Torre A,AX09 - 38.06 - 1 dorm - Interna,A2509,1,232282.24,S/ 232.28,0,disponible,Disponible,25,$1410,40.07,0,40.07
NP,Torre Nápoles,NP-A,Torre A,AX10 - 36.98 - 1 dorm - Interna,A2510,1,234195.61,S/ 234.20,175655,vendido,Separado/Vendido,25,$1182,40.16,0,40.16
NP,Torre Nápoles,NP-B,Torre B,,A2616,,172466.81,S/ 172.47,0,no disponible,No Disponible,26,$1391,30.17,0,30.17
NP,Torre Nápoles,NP-B,Torre B,,A2615,,210936.85,S/ 210.94,0,no disponible,No Disponible,26,$1357,37.8,0,37.8
NP,Torre Nápoles,NP-B,Torre B,,A2612,,287058.73,S/ 287.06,0,no disponible,No Disponible,26,$1333,52.4,0,52.4
NP,Torre Nápoles,NP-B,Torre B,,A2611,,303383.82,S/ 303.38,0,no disponible,No Disponible,26,$1333,55.38,0,55.38
NP,Torre Nápoles,NP-B,Torre B,,A2614,,325179.68,S/ 325.18,0,no disponible,No Disponible,26,$1341,59,0,59
NP,Torre Nápoles,NP-B,Torre B,,A2613,,327053.6,S/ 327.05,0,no disponible,No Disponible,26,$1341,59.34,0,59.34
NP,Torre Nápoles,NP-A,Torre A,AX01 - 57.04 - 2 dorm - Exterior,A2601,2,331348.48,S/ 331.35,0,disponible,Disponible,26,$1413,57.04,0,57.04
