codigo_proyecto,nombre_proyecto,codigo_subdivision,nombre_subdivision,nombre_tipologia,nombre,total_habitaciones,precio_lista,precio lista miles,precio_venta,estado_comercial,Estado comercial,PISO,P_m2 dolares con dscto y area libre,area_techada,area_libre,area_total
NP,Torre Nápoles,NP-A,Torre A,AX03 - 39.01 - 1 dorm - Exterior,A2003,1,250721.08,S/ 250.72,219407,vendido,Separado/Vendido,20,$1478,40.12,0,40.12
NP,Torre Nápoles,NP-A,Torre A,AX04 - 66.68 - 3 dorm - Interna,A2004,3,383356.62,S/ 383.36,0,disponible,Disponible,20,$1424,65.49,0,65.49
NP,Torre Nápoles,NP-A,Torre A,AX05 - 65.81 - 3 dorm - Exterior,A2005,3,385263.39,S/ 385.26,0,disponible,Disponible,20,$1424,65.81,0,65.81
NP,Torre Nápoles,NP-A,Torre A,AX06 - 68.65 - 3 dorm - Exterior,A2006,3,397332.4,S/ 397.33,357600,vendido,Separado/Vendido,20,$1408,68.65,0,68.65
NP,Torre Nápoles,NP-A,Torre A,AX07 - 57.06 - 2 dorm - Interna,A2007,2,326054.81,S/ 326.05,0,disponible,Disponible,20,$1390,57.06,0,57.06
NP,Torre Nápoles,NP-A,Torre A,AX08 - 38 - 1 dorm - Interna,A2008,1,239073.16,S/ 239.07,0,disponible,Disponible,20,$1451,40.09,0,40.09
NP,Torre Nápoles,NP-A,Torre A,AX09 - 38.06 - 1 dorm - Interna,A2009,1,238953.9,S/ 238.95,0,disponible,Disponible,20,$1451,40.07,0,40.07
NP,Torre Nápoles,NP-A,Torre A,AX10 - 36.98 - 1 dorm - Interna,A2010,1,240882.25,S/ 240.88,0,disponible,Disponible,20,$1459,40.16,0,40.16
CUBA,Edificio Cuba Connect,,,Tipo 1,2001,3,575746,S/ 575.75,535443.78,vendido,Separado/Vendido,20,$1754,80.35,0,80.35
CUBA,Edificio Cuba Connect,,,TIPO 2,2002,1,359850,S/ 359.85,334356,vendido,Separado/Vendido,20,$1789,49.17,0,49.17
CUBA,Edificio Cuba Connect,,,TIPO 5,2005,3,615119,S/ 615.12,571540,vendido,Separado/Vendido,20,$1789,84.05,0,84.05
CUBA,Edificio Cuba Connect,,,TIPO 6,2006,3,593547,S/ 593.55,593547,vendido,Separado/Vendido,20,$1869,83.56,0,83.56
MD,Modena,,,X01 - 40.02 - 1 dorm - Interior,2001,1,311427.96,S/ 311.43,0,disponible,Disponible,20,$1843,40.02,0,40.02
MD,Modena,,,X02 - 72.20 - 3 dorm - Exterior,2002,3,556365.1,S/ 556.37,486888.81,vendido,Separado/Vendido,20,$1775,72.2,0,72.2
MD,Modena,,,X03 - 57.39 - 2 dorm - Exterior,2003,2,446508.75,S/ 446.51,0,disponible,Disponible,20,$1852,57.1,0,57.1
MD,Modena,,,X04 - 54.76 - 2 dorm - Exterior,2004,2,427506.71,S/ 427.51,0,disponible,Disponible,20,$1852,54.67,0,54.67
MD,Modena,,,X05 - 75.43 - 3 dorm - Exterior,2005,3,581255.12,S/ 581.26,500000,vendido,Separado/Vendido,20,$1744,75.43,0,75.43
MD,Modena,,,X06 - 38.20 - 1 dorm - Interior,2006,1,311972.68,S/ 311.97,0,disponible,Disponible,20,$1843,40.09,0,40.09
MD,Modena,,,X07 - 48.64 - 2 dorm - Interior,2007,2,363736.12,S/ 363.74,313451,proceso de separación,Separado/Vendido,20,$1696,48.64,0,48.64
MD,Modena,,,X08 - 72.92 - 3 dorm - Interior,2008,3,518937.44,S/ 518.94,0,disponible,Disponible,20,$1686,72.91,0,72.91
MD,Modena,,,X09 - 53.05 - 2 dorm - Interior,2009,2,396490.33,S/ 396.49,0,disponible,Disponible,20,$1771,53.02,0,53.02
NP,Torre Nápoles,NP-B,Torre B,,A2116,,177490.11,S/ 177.49,0,no disponible,No Disponible,21,$1431,30.17,0,30.17
NP,Torre Nápoles,NP-B,Torre B,,A2115,,217230.55,S/ 217.23,0,no disponible,No Disponible,21,$1398,37.8,0,37.8
NP,Torre Nápoles,NP-B,Torre B,,A2112,,295783.33,S/ 295.78,0,no disponible,No Disponible,21,$1373,52.4,0,52.4
NP,Torre Nápoles,NP-B,Torre B,,A2111,,312604.59,S/ 312.60,0,no disponible,No Disponible,21,$1373,55.38,0,55.38
